id,lang,style,mood,pop,year,generation,author,song,date,website,url,version,processed,_author,_song,_retired,tested,proposed_tona,transposed_tona,listened_tona,chords_simplified,score,notes
309,,,,,,,pitbull,timber,,,https://www.boiteachansons.net/partitions/pitbull/timber,,0,pitbull,timber,,,,,,,,
310,,,,,,,pascal obispo,tombe pour elle,,,https://www.boiteachansons.net/partitions/pascal-obispo/tombe-pour-elle,,0,pascal obispo,tombe pour elle,,,,,,,,
311,,,,,,,michel polnareff,tout tout pour ma cherie,,,https://www.boiteachansons.net/partitions/michel-polnareff/tout-tout-pour-ma-cherie,,0,michel polnareff,tout tout pour ma cherie,,,,,,,,
312,,,,,,,ray ventura,tout va tres bien madame la marquise,,,https://www.boiteachansons.net/partitions/ray-ventura/tout-va-tres-bien-madame-la-marquise,,0,ray ventura,tout va tres bien madame la marquise,,,,,,,,
313,,,,,,,britney spears,toxic,,,https://www.boiteachansons.net/partitions/britney-spears/toxic,,0,britney spears,toxic,,,,,,,,
314,,,,,,,starmania,travesti,,,https://www.boiteachansons.net/partitions/starmania/travesti,,0,starmania,travesti,,,,,,,,
315,,,,,,,starmania,un enfant de la pollution,,,https://www.boiteachansons.net/partitions/starmania/un-enfant-de-la-pollution,,0,starmania,un enfant de la pollution,,,,,,,,
316,,,,,,,william sheller,un homme heureux,,,https://www.boiteachansons.net/partitions/william-sheller/un-homme-heureux,,0,william sheller,un homme heureux,,,,,,,,
317,,,,,,,georges brassens,une jolie fleur,,,https://www.boiteachansons.net/partitions/georges-brassens/une-jolie-fleur,,0,georges brassens,une jolie fleur,,,,,,,,
318,,,,,,,la compagnie creole,vive le douanier rousseau,,,https://www.boiteachansons.net/partitions/la-compagnie-creole/vive-le-douanier-rousseau,,0,la compagnie creole,vive le douanier rousseau,,,,,,,,
319,,,,,,,helene segara,vivo per lei,,,https://www.boiteachansons.net/partitions/helene-segara/vivo-per-lei,,0,helene segara,vivo per lei,,,,,,,,
320,,,,,,,shakira,waka waka (this time for africa),,,https://www.boiteachansons.net/partitions/shakira/waka-waka-(this-time-for-africa),,0,shakira,waka waka (this time for africa),,,,,,,,
321,,,,,,,avicii,wake me up,,,https://www.boiteachansons.net/partitions/avicii/wake-me-up,,0,avicii,wake me up,,,,,,,,
322,,,,,,,,Walk Like An Egyptian,,,,,0,,,,,,,,,,
323,,,,,,,spice girls,wannabe,,,,,0,,,,,,,,,,
324,,,,,,,queen,we are the champions,,,https://www.boiteachansons.net/partitions/queen/we-are-the-champions,,0,queen,we are the champions,,,,,,,,
325,,,,,,,4 non blondes,what s up,,,https://www.boiteachansons.net/partitions/4-non-blondes/what-s-up,,0,4 non blondes,what s up,,,,,,,,
326,,,,,,,jermaine jackson pia zadora,when the rain begins to fall,,,https://www.boiteachansons.net/partitions/jermaine-jackson-pia-zadora/when-the-rain-begins-to-fall,,0,jermaine jackson pia zadora,when the rain begins to fall,,,,,,,,
327,,,,,,,fats domino,when the saints go marching in,,,https://www.boiteachansons.net/partitions/fats-domino/when-the-saints-go-marching-in,,0,fats domino,when the saints go marching in,,,,,,,,
328,,,,,,,oasis,wonderwall,,,https://www.boiteachansons.net/partitions/oasis/wonderwall,,0,oasis,wonderwall,,,,,,,,
329,,,,,,,the cranberries,zombie,,,https://www.boiteachansons.net/partitions/the-cranberries/zombie,,0,the cranberries,zombie,,,,,,,,
330,,,,,,,trenet,La mer,,,https://www.boiteachansons.net/partitions/charles-trenet/la-mer,,0,charles trenet,la mer,,,,,,,,
331,,,,,,,aznevour you are the one,formedable,,,https://www.boiteachansons.net/partitions/charles-aznavour/for-me-formidable,,0,charles aznavour,for me formidable,,,,,,,,
332,,,,,,,,Blowing in the wind,,,https://www.boiteachansons.net/partitions/bob-dylan/blowin-in-the-wind,,0,bob dylan,blowin in the wind,,,,,,,,
333,,,,,,,joe dassin,Et si tu n'existe pas,,,https://www.boiteachansons.net/partitions/joe-dassin/et-si-tu-n-existais-pas,,0,joe dassin,et si tu n existais pas,,,,,,,,
334,,,,,,,,Quand on a que lamour,,,https://www.boiteachansons.net/partitions/jacques-brel/quand-on-n-a-que-l-amour,,0,jacques brel,quand on n a que l amour,,,,,,,,
335,,,,,,,Jean ferrat,La Montagne ,,,https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,,0,jean ferrat,la montagne,,,,,,,,
